program,FuncDef->Decl->FuncDecl->*->*,For->For,For->Compound->For,UnaryOp->*
correlation,3,3,4,1
covariance,3,4,2,1
gemm,3,4,3,2
gemver,3,3,1,2
gesummv,3,0,2,2
symm,3,3,3,3
syr2k,3,4,2,2
syrk,3,3,3,2
trmm,3,2,3,1
2mm,3,7,2,2
3mm,3,8,3,0
atax,3,1,2,0
bicg,3,0,2,0
doitgen,3,6,3,0
mvt,3,2,1,0
cholesky,3,5,5,4
durbin,3,0,3,3
gramschmidt,3,4,5,0
lu,3,5,6,4
ludcmp,3,4,8,4
trisolv,3,0,2,1
deriche,3,4,4,11
floyd-warshall,3,3,1,0
nussinov,3,1,3,1
adi,3,2,6,6
fdtd-2d,3,7,4,0
heat-3d,3,4,6,0
jacobi-1d,3,0,2,0
jacobi-2d,3,4,2,0
seidel-2d,3,4,0,0
